time,count,total_precipitation,mean,median,max,std,active_entities,pct_active_entities
2026-03-06 08:00:00,259,0.1383,0.0005,0.0,0.0283,0.0033,8,0.0309
2026-03-06 08:05:00,259,0.1317,0.0005,0.0,0.02,0.0025,12,0.0463
2026-03-06 08:10:00,259,0.11,0.0004,0.0,0.025,0.0029,6,0.0232
2026-03-06 08:15:00,259,0.01,0.0,0.0,0.005,0.0004,2,0.0077
2026-03-06 08:20:00,259,0.0,0.0,0.0,0.0,0.0,0,0.0
2026-03-06 08:25:00,259,0.0,0.0,0.0,0.0,0.0,0,0.0
2026-03-06 08:30:00,259,0.0,0.0,0.0,0.0,0.0,0,0.0
2026-03-06 08:35:00,259,0.0,0.0,0.0,0.0,0.0,0,0.0
2026-03-06 08:40:00,259,0.0,0.0,0.0,0.0,0.0,0,0.0
2026-03-06 08:45:00,259,0.0,0.0,0.0,0.0,0.0,0,0.0
