time,count,total_precipitation,mean,median,max,std,active_entities,pct_active_entities
2026-01-01 11:30:00,259,64.8,0.2502,0.2,0.7,0.1246,255,0.9846
2026-01-01 11:00:00,259,31.4,0.1212,0.1,0.3,0.0745,225,0.8687
2026-01-01 12:00:00,259,4.7,0.0181,0.0,0.2,0.0451,40,0.1544
2026-01-01 06:00:00,259,0.7,0.0027,0.0,0.1,0.0162,7,0.027
2026-01-01 05:30:00,259,0.5,0.0019,0.0,0.1,0.0138,5,0.0193
2026-01-01 12:30:00,259,0.1,0.0004,0.0,0.1,0.0062,1,0.0039
2026-01-01 00:00:00,259,0.0,0.0,0.0,0.0,0.0,0,0.0
2026-01-01 00:30:00,259,0.0,0.0,0.0,0.0,0.0,0,0.0
2026-01-01 01:00:00,259,0.0,0.0,0.0,0.0,0.0,0,0.0
2026-01-01 01:30:00,259,0.0,0.0,0.0,0.0,0.0,0,0.0
