zone_id,observation_count,total_precipitation,mean_precipitation,max_precipitation,wet_intervals,pct_wet_intervals,grid_lat,grid_lon,latitude,longitude
84,48,1.2,0.025,0.7,3,0.0625,40.535,-74.175,40.532,-74.1739
5,48,1.2,0.025,0.6,4,0.0833,40.555,-74.185,40.5503,-74.1899
99,48,1.2,0.025,0.5,5,0.1042,40.575,-74.185,40.5796,-74.1877
109,48,1.1,0.0229,0.6,3,0.0625,40.545,-74.155,40.5488,-74.1527
44,48,1.1,0.0229,0.5,5,0.1042,40.525,-74.225,40.5273,-74.2295
204,48,1.1,0.0229,0.5,5,0.1042,40.545,-74.205,40.5407,-74.207
110,48,1.0,0.0208,0.7,3,0.0625,40.545,-74.125,40.5433,-74.1258
176,48,1.0,0.0208,0.7,3,0.0625,40.565,-74.115,40.5621,-74.1196
64,48,0.9,0.0188,0.6,4,0.0833,40.765,-73.735,40.7606,-73.7314
118,48,0.9,0.0187,0.7,2,0.0417,40.585,-74.135,40.5856,-74.1371
214,48,0.8,0.0167,0.6,3,0.0625,40.585,-74.085,40.5866,-74.0859
172,48,0.8,0.0167,0.6,2,0.0417,40.575,-74.105,40.5725,-74.1039
58,48,0.8,0.0167,0.4,3,0.0625,40.845,-73.825,40.8415,-73.8207
37,48,0.7,0.0146,0.4,2,0.0417,40.695,-73.925,40.6963,-73.9259
177,48,0.7,0.0146,0.4,2,0.0417,40.675,-73.915,40.6771,-73.9111
225,48,0.7,0.0146,0.4,2,0.0417,40.685,-73.935,40.6888,-73.9314
156,48,0.7,0.0146,0.3,4,0.0833,40.625,-74.165,40.6287,-74.1649
61,48,0.7,0.0146,0.5,2,0.0417,40.675,-73.945,40.6738,-73.9413
101,48,0.7,0.0146,0.5,2,0.0417,40.745,-73.705,40.7437,-73.7091
23,48,0.7,0.0146,0.4,3,0.0625,40.605,-74.155,40.6075,-74.1594
6,48,0.6,0.0125,0.5,2,0.0417,40.595,-74.065,40.5991,-74.0678
17,48,0.6,0.0125,0.4,2,0.0417,40.695,-73.945,40.692,-73.9492
33,48,0.6,0.0125,0.4,2,0.0417,40.695,-73.995,40.6962,-73.9953
35,48,0.6,0.0125,0.4,2,0.0417,40.665,-73.915,40.6638,-73.9125
36,48,0.6,0.0125,0.4,2,0.0417,40.695,-73.915,40.6991,-73.9166
49,48,0.6,0.0125,0.4,2,0.0417,40.685,-73.965,40.6885,-73.9649
62,48,0.6,0.0125,0.4,2,0.0417,40.665,-73.945,40.6671,-73.9493
97,48,0.6,0.0125,0.4,2,0.0417,40.695,-73.975,40.6906,-73.9756
111,48,0.6,0.0125,0.4,2,0.0417,40.655,-73.995,40.6521,-73.991
181,48,0.6,0.0125,0.4,2,0.0417,40.675,-73.975,40.672,-73.979
188,48,0.6,0.0125,0.4,2,0.0417,40.655,-73.945,40.6576,-73.9452
189,48,0.6,0.0125,0.4,2,0.0417,40.675,-73.965,40.6772,-73.9683
190,48,0.6,0.0125,0.4,2,0.0417,40.665,-73.975,40.6606,-73.971
19,48,0.6,0.0125,0.3,4,0.0833,40.735,-73.725,40.7365,-73.7279
15,48,0.5,0.0104,0.4,2,0.0417,40.785,-73.785,40.7852,-73.788
21,48,0.5,0.0104,0.4,2,0.0417,40.605,-73.985,40.602,-73.9813
29,48,0.5,0.0104,0.4,2,0.0417,40.585,-73.965,40.5822,-73.9606
46,48,0.5,0.0104,0.4,2,0.0417,40.845,-73.785,40.8475,-73.7865
