time,count,sum,mean,median,max,std,active_entities,pct_active_entities
2026-03-01 07:00:00,259,0.0,0.0,0.0,0.0,0.0,0,0.0
2026-03-01 07:05:00,259,0.0,0.0,0.0,0.0,0.0,0,0.0
2026-03-01 07:10:00,259,0.0,0.0,0.0,0.0,0.0,0,0.0
2026-03-01 07:15:00,259,0.0,0.0,0.0,0.0,0.0,0,0.0
2026-03-01 07:20:00,259,0.0,0.0,0.0,0.0,0.0,0,0.0
2026-03-01 07:25:00,259,0.0,0.0,0.0,0.0,0.0,0,0.0
2026-03-01 07:30:00,259,0.0,0.0,0.0,0.0,0.0,0,0.0
2026-03-01 07:35:00,259,0.0,0.0,0.0,0.0,0.0,0,0.0
2026-03-01 07:40:00,259,0.0,0.0,0.0,0.0,0.0,0,0.0
2026-03-01 07:45:00,259,0.0,0.0,0.0,0.0,0.0,0,0.0
2026-03-01 07:50:00,259,0.0,0.0,0.0,0.0,0.0,0,0.0
2026-03-01 07:55:00,259,0.0,0.0,0.0,0.0,0.0,0,0.0
2026-03-01 08:00:00,259,0.0,0.0,0.0,0.0,0.0,0,0.0
2026-03-01 08:05:00,259,0.0,0.0,0.0,0.0,0.0,0,0.0
2026-03-01 08:10:00,259,0.0,0.0,0.0,0.0,0.0,0,0.0
2026-03-01 08:15:00,259,0.0,0.0,0.0,0.0,0.0,0,0.0
2026-03-01 08:20:00,259,0.0,0.0,0.0,0.0,0.0,0,0.0
2026-03-01 08:25:00,259,0.0,0.0,0.0,0.0,0.0,0,0.0
2026-03-01 08:30:00,259,0.0,0.0,0.0,0.0,0.0,0,0.0
2026-03-01 08:35:00,259,0.0,0.0,0.0,0.0,0.0,0,0.0
2026-03-01 08:40:00,259,0.0,0.0,0.0,0.0,0.0,0,0.0
2026-03-01 08:45:00,259,0.0,0.0,0.0,0.0,0.0,0,0.0
2026-03-01 08:50:00,259,0.0,0.0,0.0,0.0,0.0,0,0.0
2026-03-01 08:55:00,259,0.0,0.0,0.0,0.0,0.0,0,0.0
2026-03-01 09:00:00,259,0.0,0.0,0.0,0.0,0.0,0,0.0
2026-03-01 09:05:00,259,0.0,0.0,0.0,0.0,0.0,0,0.0
2026-03-01 09:10:00,259,0.0,0.0,0.0,0.0,0.0,0,0.0
2026-03-01 09:15:00,259,0.0,0.0,0.0,0.0,0.0,0,0.0
2026-03-01 09:20:00,259,0.0,0.0,0.0,0.0,0.0,0,0.0
2026-03-01 09:25:00,259,0.0,0.0,0.0,0.0,0.0,0,0.0
2026-03-01 09:30:00,259,0.0,0.0,0.0,0.0,0.0,0,0.0
2026-03-01 09:35:00,259,0.0,0.0,0.0,0.0,0.0,0,0.0
2026-03-01 09:40:00,259,0.0,0.0,0.0,0.0,0.0,0,0.0
2026-03-01 09:45:00,259,0.0,0.0,0.0,0.0,0.0,0,0.0
2026-03-01 09:50:00,259,0.0,0.0,0.0,0.0,0.0,0,0.0
2026-03-01 09:55:00,259,0.0,0.0,0.0,0.0,0.0,0,0.0
