zone_id,observation_count,total_precipitation,mean_precipitation,max_precipitation,wet_intervals,pct_wet_intervals,grid_lat,grid_lon,latitude,longitude
200,36,0.0,0.0,0.0,0,0.0,40.895,-73.905,40.8999,-73.9065
201,36,0.0,0.0,0.0,0,0.0,40.575,-73.845,40.5775,-73.8472
202,36,0.0,0.0,0.0,0,0.0,40.765,-73.955,40.7612,-73.9504
203,36,0.0,0.0,0.0,0,0.0,40.655,-73.735,40.6595,-73.7367
204,36,0.0,0.0,0.0,0,0.0,40.545,-74.205,40.5407,-74.207
205,36,0.0,0.0,0.0,0,0.0,40.695,-73.765,40.6922,-73.7626
206,36,0.0,0.0,0.0,0,0.0,40.635,-74.125,40.636,-74.1232
207,36,0.0,0.0,0.0,0,0.0,40.765,-73.895,40.7635,-73.8993
208,36,0.0,0.0,0.0,0,0.0,40.825,-73.825,40.8247,-73.8249
209,36,0.0,0.0,0.0,0,0.0,40.705,-74.005,40.7085,-74.0024
210,36,0.0,0.0,0.0,0,0.0,40.595,-73.945,40.5938,-73.9443
211,36,0.0,0.0,0.0,0,0.0,40.725,-74.005,40.7239,-74.0014
212,36,0.0,0.0,0.0,0,0.0,40.825,-73.865,40.8283,-73.8699
213,36,0.0,0.0,0.0,0,0.0,40.815,-73.865,40.8165,-73.8608
214,36,0.0,0.0,0.0,0,0.0,40.585,-74.085,40.5866,-74.0859
215,36,0.0,0.0,0.0,0,0.0,40.695,-73.795,40.6942,-73.7904
216,36,0.0,0.0,0.0,0,0.0,40.675,-73.825,40.6771,-73.8205
217,36,0.0,0.0,0.0,0,0.0,40.705,-73.955,40.7032,-73.9568
218,36,0.0,0.0,0.0,0,0.0,40.675,-73.775,40.6736,-73.7721
219,36,0.0,0.0,0.0,0,0.0,40.665,-73.765,40.6602,-73.761
220,36,0.0,0.0,0.0,0,0.0,40.885,-73.915,40.8819,-73.9119
221,36,0.0,0.0,0.0,0,0.0,40.625,-74.085,40.6202,-74.0813
222,36,0.0,0.0,0.0,0,0.0,40.645,-73.885,40.6469,-73.8821
223,36,0.0,0.0,0.0,0,0.0,40.775,-73.905,40.7782,-73.9067
224,36,0.0,0.0,0.0,0,0.0,40.735,-73.975,40.7317,-73.9778
225,36,0.0,0.0,0.0,0,0.0,40.685,-73.935,40.6888,-73.9314
226,36,0.0,0.0,0.0,0,0.0,40.735,-73.925,40.7353,-73.9293
227,36,0.0,0.0,0.0,0,0.0,40.645,-74.005,40.6416,-74.0068
228,36,0.0,0.0,0.0,0,0.0,40.655,-74.005,40.6536,-74.01
229,36,0.0,0.0,0.0,0,0.0,40.755,-73.965,40.7566,-73.9652
230,36,0.0,0.0,0.0,0,0.0,40.755,-73.985,40.7598,-73.9842
231,36,0.0,0.0,0.0,0,0.0,40.715,-74.005,40.7187,-74.0067
232,36,0.0,0.0,0.0,0,0.0,40.715,-73.985,40.7154,-73.9823
233,36,0.0,0.0,0.0,0,0.0,40.745,-73.975,40.7492,-73.9713
234,36,0.0,0.0,0.0,0,0.0,40.745,-73.995,40.7403,-73.9905
235,36,0.0,0.0,0.0,0,0.0,40.855,-73.915,40.8535,-73.915
236,36,0.0,0.0,0.0,0,0.0,40.785,-73.955,40.7805,-73.957
237,36,0.0,0.0,0.0,0,0.0,40.765,-73.965,40.7685,-73.9657
238,36,0.0,0.0,0.0,0,0.0,40.795,-73.975,40.7918,-73.9728
239,36,0.0,0.0,0.0,0,0.0,40.785,-73.975,40.7841,-73.9783
240,36,0.0,0.0,0.0,0,0.0,40.895,-73.875,40.8947,-73.8791
241,36,0.0,0.0,0.0,0,0.0,40.875,-73.895,40.876,-73.8965
242,36,0.0,0.0,0.0,0,0.0,40.845,-73.835,40.8496,-73.8399
243,36,0.0,0.0,0.0,0,0.0,40.855,-73.935,40.8587,-73.9328
244,36,0.0,0.0,0.0,0,0.0,40.845,-73.945,40.8412,-73.9417
