time,count,total_precipitation,mean,median,max,std,active_entities,pct_active_entities
2026-03-01 07:00:00,259,0.0,0.0,0.0,0.0,0.0,0,0.0
2026-03-01 07:05:00,259,0.0,0.0,0.0,0.0,0.0,0,0.0
2026-03-01 07:10:00,259,0.0,0.0,0.0,0.0,0.0,0,0.0
2026-03-01 07:15:00,259,0.0,0.0,0.0,0.0,0.0,0,0.0
2026-03-01 07:20:00,259,0.0,0.0,0.0,0.0,0.0,0,0.0
2026-03-01 07:25:00,259,0.0,0.0,0.0,0.0,0.0,0,0.0
2026-03-01 07:30:00,259,0.0,0.0,0.0,0.0,0.0,0,0.0
2026-03-01 07:35:00,259,0.0,0.0,0.0,0.0,0.0,0,0.0
2026-03-01 07:40:00,259,0.0,0.0,0.0,0.0,0.0,0,0.0
2026-03-01 07:45:00,259,0.0,0.0,0.0,0.0,0.0,0,0.0
